system:index,count,.geo
2007_12_01_0,10,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_02_01_0,141,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_03_01_0,284,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_04_01_0,502,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_05_01_0,2042,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_06_01_0,16904,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_07_01_0,30320,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_08_01_0,10957,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_09_01_0,961,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_10_01_0,7550,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_11_01_0,4,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2008_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2009_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2009_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2009_03_01_0,118,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2009_04_01_0,1167,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
