system:index,count,.geo
2014_09_01_0,337,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2014_10_01_0,502,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2014_11_01_0,5,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2014_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_03_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_04_01_0,339,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_05_01_0,93,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_06_01_0,1444,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_07_01_0,1684,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_08_01_0,393,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_09_01_0,303,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_10_01_0,596,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_11_01_0,1,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2015_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
2016_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-101.89769382433857,67.74343110576517],[-102.07347507433856,64.16888001253747],[-101.72191257433856,54.52211129975608],[-101.37035007433857,48.923665114521434],[-95.21800632433856,49.03903110056381],[-91.17503757433856,48.16726882537957],[-88.18675632433856,47.99110913286614],[-82.82542819933856,45.39969583610069],[-82.12230319933856,43.645309801004025],[-82.73753757433856,41.77263496592843],[-79.30980319933857,42.48961037146186],[-78.25511569933856,43.39037132863925],[-74.65160007433856,44.77919536459183],[-71.57542819933856,45.090288228752506],[-69.37816257433856,46.92146718519498],[-67.97191257433856,47.28043272909746],[-66.74144382433856,44.841548758822775],[-57.07347507433856,47.399550214195656],[-47.58128757433857,55.529634760943466],[-61.55589694933856,63.70550843443006],[-64.71995944933856,68.65720075015942],[-101.89769382433857,67.74343110576517]]]}"
