system:index,count,.geo
2015_04_01_0,808,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_05_01_0,7879,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_06_01_0,49862,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_07_01_0,72933,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_08_01_0,4703,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_09_01_0,738,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_10_01_0,878,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_11_01_0,123,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2015_12_01_0,41,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_02_01_0,3,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_03_01_0,859,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_04_01_0,1607,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_05_01_0,20342,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_06_01_0,4045,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
2016_07_01_0,15090,"{""type"":""Polygon"",""coordinates"":[[[-141.081106840379,69.68389701598194],[-140.905325590379,60.01559545094596],[-130.534231840379,54.310270106331615],[-123.67876309037898,48.62582388939054],[-110.319388090379,48.85766267103986],[-101.178763090379,48.97318118422725],[-95.377981840379,49.20341719600186],[-90.45610684037901,48.15893541193242],[-85.358450590379,47.68775890562303],[-82.721731840379,45.88254659789687],[-82.370169340379,43.50891465826439],[-83.07329434037901,41.95968864485657],[-79.030325590379,42.868108174617106],[-74.460013090379,44.8949849085327],[-71.120169340379,45.14349306417887],[-69.010794340379,47.33155811891349],[-67.604544340379,47.33155811891349],[-67.956106840379,45.14349306417887],[-66.374075590379,43.50891465826439],[-58.81548184037899,45.39092265983063],[-50.55376309037899,48.62582388939055],[-56.178763090379,55.81995165231728],[-69.538138090379,62.87030070601467],[-98.717825590379,67.36957368828737],[-133.34673184037902,69.5000115388786],[-141.081106840379,69.68389701598194]]]}"
